date,home_team,away_team,home_score,away_score,competition,home_xg,away_xg,home_shots,away_shots,home_sot,away_sot
2018-07-06,Brazil,Belgium,1,2,FIFA World Cup 2018,2.6092,0.4053,25,8.0,9,3.0
2018-07-07,Russia,Croatia,2,2,FIFA World Cup 2018,4.9884,5.568,18,23.0,10,9.0
2018-07-07,Sweden,England,0,2,FIFA World Cup 2018,0.8342,0.7582,8,12.0,3,2.0
2018-07-10,France,Belgium,1,0,FIFA World Cup 2018,1.6817,0.5669,19,9.0,5,2.0
2018-07-11,Croatia,England,2,1,FIFA World Cup 2018,2.1413,0.5467,22,11.0,7,1.0
2018-07-14,Belgium,England,2,0,FIFA World Cup 2018,1.3207,1.3354,11,15.0,4,5.0
2018-07-15,France,Croatia,4,2,FIFA World Cup 2018,1.098,1.4803,8,15.0,6,3.0
2021-06-11,Turkey,Italy,0,3,UEFA Euro 2020,0.151,1.5909,3,24.0,0,8.0
2021-06-12,Denmark,Finland,0,1,UEFA Euro 2020,1.9526,0.2885,22,1.0,6,1.0
2021-06-12,Wales,Switzerland,1,1,UEFA Euro 2020,0.5759,1.5599,9,18.0,2,4.0
2021-06-12,Belgium,Russia,3,0,UEFA Euro 2020,1.3934,0.2573,9,5.0,4,1.0
2021-06-13,Netherlands,Ukraine,3,2,UEFA Euro 2020,1.4298,0.5937,15,7.0,7,5.0
2021-06-13,Austria,North Macedonia,3,1,UEFA Euro 2020,1.4414,0.8399,10,7.0,6,2.0
2021-06-13,England,Croatia,1,0,UEFA Euro 2020,0.7069,0.3401,8,8.0,2,1.0
2021-06-14,Poland,Slovakia,1,2,UEFA Euro 2020,1.3888,0.3538,18,11.0,4,2.0
2021-06-14,Spain,Sweden,0,0,UEFA Euro 2020,1.9276,0.8158,17,4.0,5,0.0
2021-06-14,Scotland,Czech Republic,0,2,UEFA Euro 2020,1.7327,0.8108,19,10.0,4,7.0
2021-06-15,France,Germany,1,0,UEFA Euro 2020,0.446,0.8254,4,10.0,1,1.0
2021-06-15,Hungary,Portugal,0,3,UEFA Euro 2020,0.1976,2.681,5,11.0,3,7.0
2021-06-16,Turkey,Wales,0,2,UEFA Euro 2020,1.3103,2.874,18,16.0,5,7.0
2021-06-16,Finland,Russia,0,1,UEFA Euro 2020,0.9651,1.259,11,14.0,1,3.0
2021-06-16,Italy,Switzerland,3,0,UEFA Euro 2020,1.7058,0.3338,13,6.0,3,1.0
2021-06-17,Ukraine,North Macedonia,2,1,UEFA Euro 2020,3.2405,1.9847,17,13.0,9,5.0
2021-06-17,Denmark,Belgium,1,2,UEFA Euro 2020,1.623,1.0519,21,6.0,5,4.0
2021-06-17,Netherlands,Austria,2,0,UEFA Euro 2020,3.3375,0.3981,14,9.0,3,1.0
2021-06-18,Sweden,Slovakia,1,0,UEFA Euro 2020,1.584,0.5532,13,10.0,4,0.0
2021-06-18,Croatia,Czech Republic,1,1,UEFA Euro 2020,0.9902,1.9126,11,11.0,2,1.0
2021-06-18,England,Scotland,0,0,UEFA Euro 2020,0.8539,0.7354,9,11.0,1,1.0
2021-06-19,Hungary,France,1,1,UEFA Euro 2020,0.4735,1.69,5,17.0,3,4.0
2021-06-19,Spain,Poland,1,1,UEFA Euro 2020,2.6149,0.5523,12,5.0,5,2.0
2021-06-19,Portugal,Germany,2,4,UEFA Euro 2020,1.9357,2.1305,7,13.0,2,7.0
2021-06-20,Switzerland,Turkey,3,1,UEFA Euro 2020,1.984,1.2448,23,20.0,10,6.0
2021-06-20,Italy,Wales,1,0,UEFA Euro 2020,1.6691,0.2407,23,3.0,7,1.0
2021-06-21,North Macedonia,Netherlands,0,3,UEFA Euro 2020,0.7442,3.2199,13,17.0,1,7.0
2021-06-21,Finland,Belgium,0,2,UEFA Euro 2020,0.2402,1.1404,7,17.0,1,7.0
2021-06-21,Ukraine,Austria,0,1,UEFA Euro 2020,0.4103,1.4935,5,18.0,1,4.0
2021-06-21,Russia,Denmark,1,4,UEFA Euro 2020,1.091,2.3304,6,16.0,2,9.0
2021-06-22,Czech Republic,England,0,1,UEFA Euro 2020,0.393,0.6423,7,6.0,1,3.0
2021-06-22,Croatia,Scotland,3,1,UEFA Euro 2020,0.7815,1.1114,11,11.0,7,3.0
2021-06-23,Portugal,France,2,2,UEFA Euro 2020,2.0424,1.5066,10,11.0,5,5.0
2021-06-23,Sweden,Poland,3,2,UEFA Euro 2020,1.0418,1.6608,11,18.0,4,6.0
2021-06-23,Slovakia,Spain,0,5,UEFA Euro 2020,0.093,3.2231,3,19.0,0,9.0
2021-06-23,Germany,Hungary,2,2,UEFA Euro 2020,2.0977,0.7371,18,9.0,6,3.0
2021-06-26,Wales,Denmark,0,4,UEFA Euro 2020,0.5984,2.1553,11,16.0,1,8.0
2021-06-26,Italy,Austria,2,1,UEFA Euro 2020,1.5171,1.0385,26,16.0,6,3.0
2021-06-27,Netherlands,Czech Republic,0,2,UEFA Euro 2020,0.838,1.2731,6,12.0,0,5.0
2021-06-27,Belgium,Portugal,1,0,UEFA Euro 2020,0.2243,1.2148,6,23.0,1,4.0
2021-06-28,Croatia,Spain,3,5,UEFA Euro 2020,2.7882,2.78,11,24.0,6,10.0
2021-06-28,France,Switzerland,3,3,UEFA Euro 2020,6.5634,5.7715,31,18.0,13,10.0
2021-06-29,England,Germany,2,0,UEFA Euro 2020,1.1635,1.0585,5,9.0,4,3.0
2021-06-29,Sweden,Ukraine,1,2,UEFA Euro 2020,0.9119,1.3443,13,15.0,3,4.0
2021-07-02,Belgium,Italy,1,2,UEFA Euro 2020,1.8028,1.1426,10,14.0,3,4.0
2021-07-02,Switzerland,Spain,1,1,UEFA Euro 2020,3.9578,6.9281,12,34.0,5,15.0
2021-07-03,Ukraine,England,0,4,UEFA Euro 2020,0.3376,1.2155,7,10.0,2,6.0
2021-07-03,Czech Republic,Denmark,1,2,UEFA Euro 2020,1.1617,1.212,16,11.0,5,7.0
2021-07-06,Italy,Spain,1,1,UEFA Euro 2020,4.3157,4.5361,12,20.0,9,7.0
2021-07-07,England,Denmark,2,1,UEFA Euro 2020,3.0502,0.3755,21,6.0,10,3.0
2021-07-11,Italy,England,1,1,UEFA Euro 2020,5.9994,4.3437,24,11.0,11,5.0
2022-11-20,Qatar,Ecuador,0,2,FIFA World Cup 2022,0.3042,1.154,5,6.0,0,3.0
2022-11-21,England,Iran,6,2,FIFA World Cup 2022,1.9872,1.4557,13,8.0,7,3.0
2022-11-21,Senegal,Netherlands,0,2,FIFA World Cup 2022,0.6915,1.1239,15,10.0,4,3.0
2022-11-21,United States,Wales,1,1,FIFA World Cup 2022,0.6025,1.3953,6,7.0,1,3.0
2022-11-22,Argentina,Saudi Arabia,1,2,FIFA World Cup 2022,2.4916,0.1535,15,3.0,6,2.0
2022-11-22,Mexico,Poland,0,0,FIFA World Cup 2022,0.5291,1.1379,11,6.0,4,2.0
2022-11-22,Denmark,Tunisia,0,0,FIFA World Cup 2022,1.5666,1.0599,11,13.0,5,1.0
2022-11-23,Spain,Costa Rica,7,0,FIFA World Cup 2022,2.7619,,17,,8,
2022-11-23,Belgium,Canada,1,0,FIFA World Cup 2022,0.67,2.5462,9,22.0,3,3.0
2022-11-23,Morocco,Croatia,0,0,FIFA World Cup 2022,0.3626,0.8499,8,5.0,2,1.0
2022-11-23,Germany,Japan,1,2,FIFA World Cup 2022,2.768,1.2493,26,12.0,9,4.0
2022-11-24,Uruguay,South Korea,0,0,FIFA World Cup 2022,0.4173,0.493,10,7.0,1,0.0
2022-11-24,Brazil,Serbia,2,0,FIFA World Cup 2022,2.1239,0.1633,23,5.0,9,0.0
2022-11-24,Switzerland,Cameroon,1,0,FIFA World Cup 2022,1.4265,0.6131,7,8.0,3,5.0
2022-11-24,Portugal,Ghana,3,2,FIFA World Cup 2022,2.0969,0.78,11,9.0,5,3.0
2022-11-25,Wales,Iran,0,2,FIFA World Cup 2022,0.6156,1.454,10,21.0,3,6.0
2022-11-25,Netherlands,Ecuador,1,1,FIFA World Cup 2022,0.1045,1.6511,2,15.0,1,4.0
2022-11-25,England,United States,0,0,FIFA World Cup 2022,0.4606,0.5143,8,10.0,3,1.0
2022-11-25,Qatar,Senegal,1,3,FIFA World Cup 2022,0.9601,0.903,10,12.0,3,4.0
2022-11-26,Poland,Saudi Arabia,2,0,FIFA World Cup 2022,1.7342,1.972,9,17.0,3,5.0
2022-11-26,France,Denmark,2,1,FIFA World Cup 2022,1.9336,0.8885,21,10.0,6,2.0
2022-11-26,Argentina,Mexico,2,0,FIFA World Cup 2022,0.3252,0.2064,5,4.0,2,1.0
2022-11-26,Tunisia,Australia,0,1,FIFA World Cup 2022,1.0522,0.359,14,9.0,4,2.0
